bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CW,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,GT,HK,HR,HU,ID,IE,IL,IM,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KM,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,ME,MK,MM,MN,MO,MR,MU,MW,MX,MY,NG,NL,NO,NP,NZ,PA,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SV,TH,TR,TW,TZ,UA,UG,US,UY,VE,VN,ZA,ZW
2023-07-25T02,73,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,4,0,0,0,8,1,0,0,0,0,5,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,5,0,0,0,1,0,1,0,1,0,26,0,0,0,0,0
2023-07-25T03,92,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,5,0,0,0,0,0,4,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,1,0,0,0,49,0,0,0,0,0
2023-07-25T04,87,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,23,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,2,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,7,0,0,0,2,0,1,0,1,0,15,0,0,1,1,0
2023-07-25T05,86,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,7,0,0,0,2,0,1,0,1,0,19,0,0,1,0,0
2023-07-25T06,85,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,6,0,0,0,2,0,1,0,1,0,22,0,0,1,0,0
2023-07-25T07,74,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,17,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,3,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,1,5,0,0,0,1,0,0,0,1,0,14,0,0,1,0,0
2023-07-25T08,79,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,4,0,0,0,0,0,14,0,0,1,0,0
2023-07-25T09,82,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,21,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,0,0,1,0,10,0,0,1,0,0
2023-07-25T10,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,5,1,2,0,1,0,16,0,0,0,0,0
2023-07-25T11,93,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,5,0,0,1,0,0,1,0,0,8,4,0,2,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,2,1,0,0,1,0,0,0,2,0,0,0,1,6,0,0,0,1,0,7,0,3,0,17,0,0,0,0,0
2023-07-25T12,81,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,4,1,1,0,0,0,1,0,0,4,3,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,1,6,0,0,0,18,0,0,0,0,0
2023-07-25T13,90,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,6,0,0,0,4,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,1,0,2,0,17,0,0,0,0,0
2023-07-25T14,132,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,7,0,0,0,0,1,14,0,0,1,0,0,3,0,0,8,4,0,0,0,4,0,0,1,0,1,0,2,0,0,0,3,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,1,0,2,0,0,0,3,0,0,0,1,8,1,0,0,15,0,3,0,3,0,23,0,0,2,0,0
2023-07-25T15,121,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,3,0,0,11,12,0,0,0,4,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,3,0,1,0,0,0,2,0,0,0,2,7,0,0,0,14,0,1,0,2,0,14,0,0,2,0,0
2023-07-25T16,139,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,7,0,0,0,0,0,24,0,0,0,0,0,1,0,0,10,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,1,9,0,0,0,15,0,2,0,0,1,20,0,0,0,0,0
2023-07-25T17,149,5,2,0,0,0,0,1,0,0,0,1,0,0,1,0,5,0,0,0,6,0,0,0,0,0,40,0,0,0,0,0,1,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,2,0,0,0,0,0,3,2,0,0,1,7,1,0,0,4,0,2,0,1,1,28,0,0,0,0,0
2023-07-25T18,153,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,6,0,0,0,4,0,0,0,0,1,37,0,0,0,0,0,5,0,0,6,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,18,2,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,3,6,1,0,0,5,1,0,0,0,0,23,0,0,0,0,0
2023-07-25T19,147,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,5,2,0,0,5,0,0,0,0,2,35,0,0,0,0,0,1,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,21,2,0,0,0,0,0,3,0,1,0,1,0,2,1,0,0,1,6,0,0,0,3,0,0,0,1,0,16,0,0,1,0,0
2023-07-25T20,141,3,0,0,0,2,0,0,0,0,0,2,0,0,3,0,5,1,0,0,6,0,0,0,0,1,28,0,0,0,0,0,1,0,0,10,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,5,0,0,0,4,0,0,0,0,0,22,0,0,0,2,0
2023-07-25T21,127,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,6,1,0,0,5,0,0,0,0,0,15,0,0,0,0,0,3,0,0,8,9,0,0,0,2,0,0,0,0,0,0,1,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,5,0,0,0,1,1,0,0,1,0,25,0,0,0,2,0
2023-07-25T22,128,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,7,0,0,0,17,0,0,0,0,0,11,0,0,0,0,0,3,0,0,8,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,1,5,0,0,0,1,2,0,0,2,0,28,0,0,1,0,0
2023-07-25T23,158,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,15,0,0,0,17,0,0,0,0,0,8,0,0,2,0,0,1,0,0,6,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,1,6,0,0,0,1,1,0,0,2,0,59,0,0,2,0,0
2023-07-26T00,104,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12,0,1,0,19,0,0,0,0,0,5,0,0,2,0,0,2,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,1,0,36,0,0,0,0,0
2023-07-26T01,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,22,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,1,0,39,0,0,0,0,0
2023-07-26T02,129,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,2,0,61,0,0,0,0,0
2023-07-26T03,188,3,0,0,0,4,0,0,0,0,0,0,0,0,1,0,5,0,0,0,19,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,1,5,0,0,0,1,0,1,0,0,0,90,0,0,1,0,0
2023-07-26T04,84,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,0,0,0,0,31,0,0,0,0,0
2023-07-26T05,115,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,1,1,1,0,1,0,66,0,0,0,1,0
2023-07-26T06,144,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,15,1,0,0,0,0,17,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,3,0,0,0,74,0,0,0,0,0
2023-07-26T07,73,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2,0,1,0,15,0,0,0,0,0
2023-07-26T08,174,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,22,0,0,0,0,0,1,0,0,7,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,4,0,3,0,0,0,76,0,0,0,0,0
2023-07-26T09,127,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,21,0,0,0,0,0,7,0,0,0,0,0,1,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,6,0,1,0,2,0,37,0,0,0,0,0
2023-07-26T10,81,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,3,0,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
2023-07-26T11,96,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,0,0,0,0,1,9,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,1,0,1,0,0,0,37,0,0,1,0,0
2023-07-26T12,160,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,0,0,0,0,0,6,0,1,0,0,0,1,0,1,4,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,13,0,0,0,1,0,2,0,1,0,85,0,0,0,0,0
2023-07-26T13,149,3,0,0,0,0,0,2,0,1,0,1,0,0,1,0,2,0,0,0,15,0,0,0,0,0,18,0,0,0,0,0,4,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,2,6,0,0,0,16,1,2,0,1,0,34,0,0,0,0,0
2023-07-26T14,201,2,0,0,0,0,2,2,0,0,1,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,36,0,0,0,0,1,4,0,0,7,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,1,7,0,0,0,12,1,0,0,3,0,71,0,0,0,0,0
2023-07-26T15,116,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,7,0,0,0,0,0,15,0,0,0,0,0,2,0,0,16,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,5,0,0,0,16,0,2,0,2,0,20,0,0,0,0,0
2023-07-26T16,122,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,7,0,0,0,0,0,21,0,0,0,0,0,1,0,0,13,7,0,0,0,2,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,6,0,0,0,14,0,0,0,1,0,20,0,0,0,0,0
2023-07-26T17,154,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,4,0,0,0,0,0,31,0,0,0,0,0,1,0,0,14,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,14,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,2,7,0,0,0,6,0,2,0,0,0,33,0,0,0,0,0
2023-07-26T18,209,3,0,0,0,1,0,0,0,0,0,2,0,0,4,0,4,2,0,0,5,0,0,0,0,0,50,0,0,0,0,0,4,0,0,16,13,0,0,0,3,0,0,0,0,0,0,6,0,0,0,6,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0,5,15,0,0,0,8,0,1,0,0,0,29,0,0,0,0,0
2023-07-26T19,260,5,0,0,0,2,0,0,0,0,0,3,0,0,3,0,5,2,1,0,5,0,0,0,0,0,33,0,0,0,0,0,2,0,0,14,13,0,0,0,2,0,0,0,0,0,0,1,0,0,0,9,0,30,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,9,0,0,0,2,0,2,0,1,0,84,0,0,0,0,0
2023-07-26T20,233,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4,2,1,0,4,0,2,0,0,0,39,0,0,0,0,0,1,0,0,14,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,2,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,3,5,0,0,0,2,0,0,0,0,0,79,0,0,1,0,0
2023-07-26T21,146,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,3,0,0,6,0,0,0,0,0,17,0,0,0,0,2,0,0,0,11,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,3,0,46,0,0,0,1,0
2023-07-26T22,217,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,1,0,4,0,0,0,0,0,11,0,0,0,0,0,3,0,0,6,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,14,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,140,0,0,0,0,0
2023-07-26T23,124,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,4,0,0,2,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,11,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,5,0,0,0,1,0,0,0,1,0,32,0,0,0,0,0
2023-07-27T00,147,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,9,0,1,0,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,1,7,0,0,0,0,0,0,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,2,0,54,0,0,0,0,0
2023-07-27T01,124,2,0,0,0,0,0,2,0,0,1,0,0,0,1,1,9,0,1,0,12,4,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,1,1,1,0,0,0,52,0,0,2,0,0
2023-07-27T02,101,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,9,0,1,0,12,1,0,0,0,0,5,0,0,0,0,0,0,0,1,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,3,0,1,0,37,0,0,1,0,0
2023-07-27T03,59,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,8,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0
2023-07-27T04,66,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0
2023-07-27T05,66,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,1,0,1,0,1,0,19,0,0,0,0,0
2023-07-27T06,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,6,0,0,0,1,0,1,0,0,0,22,0,0,0,0,0
2023-07-27T07,82,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,1,0,0,2,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,5,0,0,0,4,0,2,0,1,0,21,0,0,0,0,0
2023-07-27T08,69,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,5,0,0,0,0,0,7,1,0,0,0,0,0,0,0,7,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,5,0,0,0,3,0,2,0,1,0,11,0,0,1,0,0
2023-07-27T09,58,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,2,0,0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,3,0,1,0,12,0,0,0,0,0
2023-07-27T10,87,3,0,0,0,0,0,4,0,0,0,1,0,0,1,0,2,1,0,0,9,0,0,0,0,0,9,0,0,0,0,0,1,0,0,5,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,6,0,1,0,13,0,0,0,0,0
