bucket,total,--,AE,AL,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BW,BY,CA,CD,CH,CL,CM,CN,CO,CR,CW,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GH,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MK,MM,MN,MO,MV,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,TH,TN,TR,TT,TW,UA,US,UY,UZ,VE,VN,ZA
2023-12-24T12,105,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,5,7,0,0,2,1,0,0,0,0,0,1,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,5,0,0,4,0,0,0,0,0,22,0,0,0,1,0
2023-12-24T13,107,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,7,5,0,1,4,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,6,1,0,10,0,1,0,1,0,12,0,0,0,1,0
2023-12-24T14,172,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,7,0,1,0,0,33,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,6,9,0,0,8,1,0,0,0,1,0,2,0,0,8,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,2,0,3,0,0,0,0,5,0,0,0,0,1,6,0,0,8,0,0,0,2,0,27,0,0,0,0,1
2023-12-24T15,128,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,18,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,8,0,0,3,1,0,0,1,0,1,3,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,2,1,1,0,0,4,1,0,0,0,1,6,0,0,4,0,0,0,2,0,16,0,0,0,1,0
2023-12-24T16,123,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,2,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,8,9,0,0,1,1,0,0,0,0,0,1,0,0,22,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,2,0,1,0,1,1,0,3,0,0,0,0,2,6,0,0,13,0,0,0,2,0,18,0,0,0,0,0
2023-12-24T17,128,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,1,1,0,6,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,8,14,0,0,0,1,0,0,0,0,0,1,0,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,1,0,0,0,0,4,0,0,0,0,0,6,0,0,9,0,1,0,5,0,22,0,0,0,1,0
2023-12-24T18,136,1,0,0,1,0,0,0,0,1,2,2,0,1,0,0,0,7,0,1,0,0,8,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,5,10,0,0,2,1,0,0,0,0,0,2,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,2,0,2,0,0,1,0,2,0,0,0,0,0,5,1,0,10,0,1,0,3,1,26,0,0,0,1,0
2023-12-24T19,123,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,3,0,0,0,0,9,0,0,0,0,0,18,0,0,0,0,0,0,1,0,1,2,14,0,0,3,1,0,0,1,0,0,2,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,3,0,0,1,0,4,0,0,0,0,0,7,0,0,5,0,0,0,0,1,25,0,0,0,0,0
2023-12-24T20,112,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,5,0,1,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,7,0,0,2,1,0,0,1,0,0,1,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,3,0,0,1,1,1,0,0,0,0,1,7,0,0,5,0,0,0,1,0,27,0,0,0,0,0
2023-12-24T21,107,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,9,0,0,1,1,0,0,0,0,0,2,0,0,5,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,1,0,2,0,0,0,0,0,6,0,0,5,0,0,0,0,0,26,0,0,0,0,0
