bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BO,BR,BW,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GL,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KW,KZ,LA,LT,LV,LY,MA,MC,MD,MK,MM,MU,MW,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TG,TH,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA
2023-06-20T14,98,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,8,0,0,0,11,0,0,0,0,0,0,1,0,0,7,7,0,0,0,1,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,1,0,1,0,0,0,0,4,0,0,0,5,0,0,0,0,14,0,3,0,1,17,0,0,0,0,0
2023-06-20T15,128,2,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,14,0,0,0,19,0,0,0,0,0,0,1,0,0,5,9,0,0,0,1,0,0,0,0,0,1,0,6,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,6,1,0,0,0,0,0,0,0,0,0,4,0,0,3,5,0,0,0,0,13,0,3,0,0,23,0,0,0,0,0
2023-06-20T16,130,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,8,0,0,0,22,0,0,0,0,0,0,6,0,1,12,13,0,0,0,0,0,1,0,0,0,3,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,9,3,3,0,0,17,0,0,0,0,0
2023-06-20T17,150,4,0,0,0,0,0,0,1,1,0,0,2,0,2,1,0,0,8,0,0,0,32,0,0,0,0,0,0,6,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,13,0,1,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,6,1,1,0,0,24,0,0,0,1,0
2023-06-20T18,168,3,0,0,0,0,0,0,1,2,0,0,0,0,3,3,0,0,9,0,0,0,42,0,0,0,0,0,0,4,0,0,5,15,0,0,0,0,0,0,0,0,0,1,0,8,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,1,0,0,1,0,5,0,0,1,6,0,0,0,0,9,1,1,0,1,22,0,0,0,2,0
2023-06-20T19,168,1,0,0,0,1,0,0,1,2,0,0,1,0,4,1,0,0,7,0,0,2,38,0,0,0,0,0,0,3,0,0,11,17,0,0,0,1,0,0,0,0,0,0,0,12,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,13,1,0,0,0,0,2,0,0,1,0,2,0,0,1,7,0,0,0,0,6,5,1,0,1,21,0,0,0,0,0
2023-06-20T20,143,1,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,8,0,0,0,23,0,0,0,0,0,0,1,0,1,10,15,0,0,0,0,0,0,0,0,0,0,0,22,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,2,0,0,1,0,3,0,0,0,6,0,0,0,0,5,2,1,0,0,17,0,0,0,0,0
2023-06-20T21,141,3,1,0,2,0,0,0,1,2,0,0,0,0,2,0,1,0,13,0,0,0,13,0,0,0,0,0,0,3,0,0,9,13,0,1,0,0,0,0,0,0,0,0,0,23,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,1,0,0,0,2,0,0,0,7,0,0,0,1,2,6,0,0,0,18,1,0,0,0,0
2023-06-20T22,132,1,0,0,2,0,0,0,1,1,0,0,3,0,2,0,3,0,6,2,0,0,9,0,0,0,0,0,0,2,0,1,6,12,0,1,0,0,0,0,0,0,2,0,0,13,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,0,0,0,2,4,0,0,0,35,1,0,0,0,0
2023-06-20T23,114,1,0,0,2,0,0,0,1,1,0,0,3,0,10,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,1,0,7,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,2,0,0,1,0,0,0,2,0,0,0,6,0,0,0,0,2,1,1,0,3,43,1,0,0,0,0
2023-06-21T00,96,2,0,0,0,0,0,0,1,0,0,0,2,0,12,0,0,0,9,0,0,0,2,0,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,1,0,3,1,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,0,2,0,0,1,0,0,0,3,0,0,0,6,0,0,0,0,0,0,1,0,1,27,1,0,1,1,0
2023-06-21T01,128,1,0,0,1,0,1,0,1,0,0,0,0,0,11,0,0,0,11,0,0,0,13,0,0,0,2,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,1,0,0,0,0,50,1,0,1,0,0
2023-06-21T02,176,1,0,0,3,0,1,0,1,0,0,0,0,0,5,0,0,0,8,0,0,0,3,0,0,0,2,0,0,1,0,0,4,12,0,0,0,0,0,0,0,0,0,2,0,0,4,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,1,1,0,0,0,105,0,0,0,0,0
2023-06-21T03,137,2,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,3,0,0,0,1,79,0,0,0,0,0
2023-06-21T04,93,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,6,0,1,1,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,4,0,0,0,0,29,0,0,0,0,0
2023-06-21T05,160,2,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,17,0,0,1,15,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,1,0,1,0,1,79,0,0,0,0,0
2023-06-21T06,107,3,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0,7,0,5,0,1,13,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,2,30,0,0,0,0,0
2023-06-21T07,139,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,10,0,0,0,15,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,1,0,0,0,1,0,0,13,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,2,1,0,0,1,67,0,0,0,0,0
2023-06-21T08,163,2,0,0,0,0,4,0,1,0,0,0,1,0,2,0,0,0,13,0,0,0,14,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,1,3,0,2,0,2,9,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,1,0,0,1,0,3,0,0,0,13,0,0,0,0,1,0,0,0,1,66,0,0,0,0,0
2023-06-21T09,118,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,8,0,0,0,10,0,0,0,0,0,0,1,0,0,5,6,0,0,0,0,0,0,0,0,0,1,0,6,13,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,5,0,0,0,0,2,0,2,0,2,42,0,0,0,0,0
2023-06-21T10,125,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,11,0,0,0,7,0,0,0,0,0,0,1,0,0,3,6,0,0,0,1,0,0,0,0,0,0,0,5,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,2,0,0,0,6,0,0,0,0,1,0,2,0,2,53,0,0,0,1,0
2023-06-21T11,155,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,10,1,0,0,15,0,0,0,1,0,0,1,0,0,2,5,0,0,0,2,0,0,0,6,0,0,1,1,16,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,3,0,0,2,7,0,0,0,0,2,0,1,1,2,57,0,0,0,2,0
2023-06-21T12,132,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,12,1,0,0,8,0,1,0,1,0,0,0,0,0,6,3,0,0,0,1,0,0,0,0,0,4,0,3,1,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,18,0,0,0,0,6,1,2,0,0,45,0,0,0,1,0
2023-06-21T13,161,1,0,0,0,1,1,0,1,1,0,0,3,0,1,0,0,0,10,0,0,0,7,0,0,0,0,0,0,1,0,0,5,6,0,2,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,9,0,0,0,0,12,1,4,0,2,78,0,0,0,0,0
2023-06-21T14,193,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,12,0,0,0,8,0,0,0,0,0,0,2,0,0,7,10,0,0,0,1,0,0,0,9,0,0,0,4,4,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,2,14,0,0,0,0,12,0,2,0,2,82,0,0,0,0,0
2023-06-21T15,201,2,0,0,1,0,0,0,1,1,0,0,4,0,1,1,0,0,8,0,0,1,19,0,0,0,0,2,0,3,0,0,6,13,0,1,0,2,0,0,0,6,0,0,0,5,12,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,4,0,0,2,7,0,0,0,0,18,0,2,0,5,62,0,0,0,0,0
2023-06-21T16,167,2,0,0,0,1,0,0,1,0,0,0,3,0,2,1,1,0,8,1,0,0,19,0,0,0,0,1,0,7,0,0,10,8,0,0,0,0,0,0,0,0,0,2,0,9,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,1,1,1,0,0,1,0,0,2,6,0,0,0,0,14,0,3,0,1,47,1,0,0,0,0
2023-06-21T17,168,1,0,0,0,1,0,0,1,2,1,0,2,0,2,0,1,0,8,1,0,0,26,1,0,0,0,0,0,2,0,0,6,12,0,0,0,0,0,0,0,0,0,2,0,11,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,3,0,1,0,3,0,0,3,6,0,0,0,0,11,3,3,0,1,26,0,0,0,0,0
2023-06-21T18,209,2,0,0,0,0,0,0,1,2,0,0,0,0,4,1,2,0,4,0,0,2,46,0,0,0,0,1,1,2,0,1,8,21,0,0,0,0,0,1,0,0,0,0,0,9,15,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,3,1,0,0,0,4,0,0,0,6,0,0,0,0,6,2,1,0,1,42,0,0,0,0,0
2023-06-21T19,215,1,0,0,0,1,0,0,1,2,0,0,1,0,3,0,1,0,4,0,0,2,23,0,0,0,0,0,1,4,0,0,15,23,0,0,0,0,0,0,0,0,1,2,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,1,0,0,0,9,0,0,0,7,0,0,0,0,9,2,0,0,2,58,0,0,0,0,0
2023-06-21T20,211,4,1,0,0,0,0,1,1,2,0,0,1,0,4,1,0,0,3,0,0,1,25,1,0,0,0,0,0,4,0,0,15,22,0,0,0,2,0,0,0,1,1,0,1,14,6,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,5,0,0,2,14,0,0,0,0,4,2,0,0,2,51,0,0,0,0,0
2023-06-21T21,145,1,0,0,0,2,0,1,1,1,0,0,0,0,3,1,0,0,6,0,0,1,17,0,0,0,0,0,0,2,0,0,10,10,0,0,0,0,0,0,0,1,0,0,1,12,14,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,1,2,0,0,0,1,0,0,1,9,0,0,0,0,1,1,0,0,0,26,0,1,0,0,0
2023-06-21T22,156,1,0,0,0,0,0,0,1,0,0,0,1,0,4,0,1,0,9,1,0,0,6,0,0,0,0,0,0,2,0,0,5,12,0,0,0,0,0,0,0,0,0,1,1,8,1,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,4,0,0,0,8,0,0,0,0,3,2,0,0,2,71,0,1,0,0,0
2023-06-21T23,172,2,0,0,0,0,0,0,1,0,0,0,1,0,11,1,3,0,6,0,0,0,9,0,0,0,0,0,0,1,0,0,3,8,0,0,0,1,0,0,0,0,0,4,0,8,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,5,1,0,0,0,86,0,0,0,1,0
2023-06-22T00,132,5,1,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,3,0,0,0,5,0,0,0,0,0,0,1,0,0,3,6,0,0,0,2,0,0,0,0,0,2,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,1,0,2,71,0,0,0,0,0
2023-06-22T01,102,1,0,0,1,0,0,0,1,0,0,0,1,0,16,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,3,7,0,0,0,3,0,0,2,0,0,0,0,0,1,0,4,0,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,3,1,0,34,1,0,0,0,0
2023-06-22T02,98,3,0,0,0,0,0,0,1,0,1,0,5,0,7,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,1,0,2,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,3,1,3,1,2,37,1,0,0,0,0
2023-06-22T03,71,1,0,0,2,0,0,0,1,0,0,0,5,0,5,1,0,0,5,0,1,0,2,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,1,1,4,0,1,20,0,0,0,0,0
2023-06-22T04,77,2,0,0,1,0,0,0,2,0,0,0,2,0,6,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,1,0,2,0,2,19,0,0,0,0,0
2023-06-22T05,82,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,14,0,0,0,9,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,1,0,0,0,5,0,0,0,5,0,0,0,0,3,0,1,0,2,21,0,0,0,0,0
2023-06-22T06,87,1,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,15,0,0,0,9,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,5,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,1,0,0,22,0,0,0,0,0
2023-06-22T07,83,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,0,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,2,0,0,0,6,0,0,0,0,6,0,4,0,1,12,0,0,0,0,0
2023-06-22T08,89,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,17,0,0,0,12,0,0,0,0,0,0,0,0,1,4,4,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,1,0,0,0,2,0,0,1,5,0,0,0,0,2,1,0,0,1,22,0,0,0,0,0
2023-06-22T09,105,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,10,0,0,0,0,0,0,0,1,0,4,4,0,0,0,2,0,0,0,0,0,3,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,4,1,1,0,3,26,0,0,0,0,0
2023-06-22T10,90,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,7,0,0,0,9,0,0,0,0,2,0,0,0,0,5,5,0,0,0,3,0,0,0,0,0,0,0,1,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,4,0,3,0,0,21,0,0,0,0,1
2023-06-22T11,98,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,4,8,0,0,0,11,0,0,0,0,0,4,0,2,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,2,0,2,0,2,22,0,0,0,0,0
2023-06-22T12,96,1,0,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,7,0,0,0,5,0,1,0,0,0,0,0,0,0,6,5,0,0,0,4,0,0,1,0,0,3,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,3,0,0,1,15,0,0,0,0,7,0,1,0,2,17,0,0,0,0,0
2023-06-22T13,95,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,3,6,0,0,0,12,0,1,0,0,0,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,9,1,1,0,2,14,0,0,1,0,0
2023-06-22T14,111,1,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,1,5,0,0,1,12,0,0,0,0,0,0,1,0,0,7,5,0,1,0,2,0,1,0,0,0,1,0,3,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,2,0,0,0,0,1,0,2,0,0,0,8,0,0,0,0,15,0,3,0,1,19,0,0,0,0,0
2023-06-22T15,107,2,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,5,0,0,0,12,0,0,0,0,0,0,4,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,2,0,0,1,0,2,0,0,0,9,0,0,0,0,17,0,1,0,0,17,0,0,0,0,0
2023-06-22T16,130,1,3,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,4,0,0,1,23,0,0,0,0,0,0,2,0,0,11,7,0,0,0,0,0,0,0,0,0,1,0,5,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,1,0,3,0,0,1,10,0,0,0,0,13,1,1,0,2,24,0,0,0,0,0
2023-06-22T17,152,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,3,0,0,1,36,0,0,0,0,0,0,3,0,0,8,13,0,0,0,1,0,0,0,0,1,0,0,9,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,1,0,0,0,2,0,0,1,11,0,0,0,0,7,0,1,0,1,26,0,0,0,0,0
2023-06-22T18,172,1,1,0,1,0,0,0,1,2,0,0,3,0,4,2,1,0,4,0,0,1,45,0,0,0,0,0,0,3,0,0,8,18,0,0,0,0,0,0,0,0,0,1,0,12,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,3,2,0,0,0,1,0,0,0,5,0,0,0,0,6,2,0,0,0,25,0,0,0,0,0
2023-06-22T19,184,1,0,0,0,0,0,0,1,3,0,0,1,0,1,2,3,0,3,0,0,1,40,2,0,0,0,0,0,3,0,1,14,16,0,0,0,1,0,0,0,0,0,2,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,1,0,0,0,0,1,3,0,3,0,6,0,0,1,6,0,0,0,0,10,0,0,0,1,25,0,0,0,0,1
2023-06-22T20,163,5,0,0,0,0,0,1,1,1,0,0,1,0,4,1,2,0,3,0,0,1,34,0,0,0,0,0,0,2,0,1,12,11,0,0,0,1,0,0,1,0,0,2,0,14,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,2,3,0,2,0,2,0,0,1,5,0,0,0,0,4,1,0,0,1,26,0,0,0,0,0
2023-06-22T21,130,2,1,0,0,0,0,0,1,0,0,0,1,0,1,3,1,0,4,0,0,0,25,0,0,0,0,0,0,2,0,0,10,8,0,0,0,1,1,0,0,0,0,3,0,15,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,2,0,2,0,0,1,5,0,0,0,0,2,2,0,0,0,21,0,0,0,0,0
2023-06-22T22,123,1,1,0,1,0,0,0,1,0,0,0,1,0,7,2,0,0,6,2,0,0,13,0,0,0,0,0,0,0,0,1,3,12,0,0,0,0,1,0,0,0,0,2,0,12,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,2,0,0,1,7,0,0,0,0,1,0,0,0,2,33,0,0,0,0,0
2023-06-22T23,98,1,0,0,1,0,0,0,1,0,0,0,3,0,4,0,3,0,2,2,0,0,6,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,5,0,0,0,0,1,1,1,0,1,39,0,0,0,0,0
2023-06-23T00,97,2,0,0,1,0,0,0,1,0,0,0,1,0,4,0,1,0,3,1,0,0,7,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,6,0,0,0,0,1,0,1,0,2,48,0,0,0,0,0
2023-06-23T01,97,4,0,0,2,0,2,0,1,0,0,0,1,0,7,0,1,0,5,1,0,0,4,0,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,2,2,1,0,1,36,0,0,0,0,0
2023-06-23T02,72,3,0,0,2,0,2,0,1,0,0,0,0,0,5,0,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,2,0,0,0,0,30,0,0,0,0,0
2023-06-23T03,74,1,0,0,1,0,0,0,1,0,0,0,1,0,4,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,1,0,1,0,1,29,0,0,0,0,0
2023-06-23T04,73,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,8,0,0,0,0,1,2,1,0,2,33,0,0,0,0,0
2023-06-23T05,88,4,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0,2,0,1,0,0,0,0,0,1,1,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,3,1,0,0,1,34,0,0,0,0,0
2023-06-23T06,80,1,0,0,0,0,3,0,1,0,0,0,1,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,5,1,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,1,0,0,0,0,3,0,0,0,6,0,0,0,0,4,1,0,0,1,17,0,0,0,1,0
2023-06-23T07,74,2,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,2,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,1,24,0,0,0,0,0
2023-06-23T08,98,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,10,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,2,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,0,0,0,0,3,0,0,0,2,46,0,0,0,1,0
2023-06-23T09,87,2,0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,0,5,0,0,0,7,0,0,0,2,1,0,2,0,0,4,5,0,0,0,0,0,0,0,0,0,1,0,4,3,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,2,0,1,0,1,21,0,0,0,1,0
