bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BO,BR,BW,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GL,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KW,KZ,LA,LT,LV,LY,MA,MC,MD,MK,MM,MU,MW,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TG,TH,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA
2023-06-18T14,133,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2,0,9,0,0,0,15,0,0,0,0,0,0,3,0,1,12,9,1,0,0,2,0,2,0,0,1,2,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,1,1,0,1,0,2,0,0,0,9,0,0,0,0,10,0,6,0,2,17,0,0,0,1,0
2023-06-18T15,128,3,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,14,0,0,0,24,0,0,0,0,2,0,5,0,0,6,11,0,0,0,1,0,1,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,3,2,0,0,0,0,0,0,0,7,0,0,0,0,6,1,2,0,2,12,0,0,0,2,0
2023-06-18T16,137,2,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,10,0,0,1,25,0,0,0,0,1,0,6,0,1,12,9,0,0,0,1,0,1,0,0,0,0,0,13,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,1,0,1,0,1,0,0,1,6,0,0,0,0,7,1,4,0,2,14,0,0,0,0,0
2023-06-18T17,160,1,0,0,0,0,0,0,1,2,0,0,2,0,3,0,2,0,7,0,0,0,37,1,0,0,0,0,0,3,0,0,15,8,0,0,0,0,0,0,2,0,0,0,0,12,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,4,0,0,0,0,0,4,2,0,1,0,1,0,0,1,8,0,0,0,0,9,1,3,0,3,21,0,0,0,0,0
2023-06-18T18,165,2,1,0,0,0,0,1,1,1,0,0,1,0,2,0,0,0,11,0,0,2,26,1,0,0,0,1,0,6,0,0,6,18,0,1,0,1,0,0,0,0,0,2,0,10,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,7,2,0,0,0,0,2,2,0,0,0,2,0,0,1,8,0,1,1,0,5,2,0,0,4,24,0,0,0,0,0
2023-06-18T19,165,4,1,0,0,0,0,2,1,2,0,0,3,0,3,1,4,0,9,0,0,0,34,0,0,0,0,0,0,2,0,1,8,16,0,1,0,1,0,0,0,0,0,2,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,1,1,0,0,0,2,1,0,1,0,3,0,0,1,10,0,0,0,0,4,1,1,0,4,18,0,0,0,0,0
2023-06-18T20,149,2,0,0,0,0,0,2,1,1,0,0,3,0,7,0,1,0,11,0,0,1,32,0,0,0,0,0,0,1,0,0,7,14,0,0,0,0,0,0,1,0,0,2,0,11,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,2,0,0,0,0,1,0,0,1,0,0,0,0,1,7,0,0,0,0,5,1,1,0,5,14,0,0,0,0,0
2023-06-18T21,135,2,0,0,0,0,1,0,1,1,0,0,2,0,7,0,2,0,6,0,0,0,16,0,0,0,0,0,0,2,0,0,6,18,0,0,0,1,0,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0,0,0,5,1,0,0,2,19,0,0,0,0,1
2023-06-18T22,111,1,0,0,1,0,0,1,1,0,0,0,3,0,6,0,1,0,11,0,0,0,12,0,0,0,0,0,0,5,0,0,6,11,0,0,0,1,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,2,2,0,0,4,19,0,0,0,1,0
2023-06-18T23,109,2,0,0,1,1,0,0,1,0,0,0,1,0,6,0,0,0,8,0,0,0,10,0,0,0,0,0,0,1,0,0,4,8,0,0,0,0,0,0,0,0,0,2,0,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,0,1,0,3,33,0,0,1,0,0
