bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LT,LV,MA,MK,MM,MO,MW,MX,MY,NE,NG,NI,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,SY,TH,TM,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,YE,ZA,ZM,ZW
2023-07-02T13,140,1,0,0,1,0,1,0,0,0,1,0,0,1,2,2,1,0,0,0,25,0,0,0,21,0,0,0,0,0,0,0,0,7,7,0,0,0,5,0,0,0,0,0,0,1,0,0,3,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,3,0,0,0,1,6,0,0,7,0,0,1,5,0,1,0,25,0,0,0,0,0,0,0,0
2023-07-02T14,136,3,0,0,0,0,1,0,0,0,4,0,0,1,0,2,1,0,1,0,24,0,0,0,18,0,0,0,0,0,1,0,0,7,8,0,0,0,1,0,0,0,0,0,1,1,0,0,5,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,3,5,0,0,10,0,0,1,4,0,1,0,18,0,0,0,0,0,0,0,0
2023-07-02T15,151,2,0,0,0,0,1,0,0,0,1,0,0,2,0,5,0,0,1,0,26,0,0,0,23,0,0,0,1,0,1,0,0,7,9,0,0,0,1,0,0,0,0,0,0,1,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0,0,2,5,0,0,16,0,0,2,3,0,1,0,21,0,0,0,0,0,0,0,0
2023-07-02T16,155,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,19,0,0,0,33,0,0,0,1,0,4,0,1,5,10,0,0,0,3,0,0,0,0,0,0,2,0,0,8,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,2,5,0,0,12,0,0,2,3,0,2,0,21,0,0,0,0,0,0,0,0
2023-07-02T17,160,3,0,0,0,1,0,0,0,0,2,0,0,1,0,4,0,0,0,0,22,0,0,0,31,0,0,0,0,0,3,0,0,4,11,0,0,0,3,0,0,1,1,0,0,1,0,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,2,5,0,0,5,0,0,1,4,0,1,0,29,0,0,0,0,0,0,0,0
2023-07-02T18,156,1,0,0,0,0,0,0,0,0,2,0,0,1,0,7,1,0,0,0,17,0,0,0,32,0,0,0,0,0,3,0,0,7,12,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,1,0,0,0,7,0,0,0,2,5,0,0,9,0,0,1,3,0,2,0,21,0,0,0,1,0,0,0,0
2023-07-02T19,153,1,1,0,0,0,0,0,0,0,1,0,0,1,0,6,1,0,1,0,18,0,0,0,22,0,0,0,0,0,3,0,1,3,13,0,0,0,1,0,0,0,0,0,0,0,0,0,11,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,1,0,1,0,6,0,0,0,1,5,0,0,6,0,0,1,1,0,2,0,30,0,0,0,1,0,0,0,0
2023-07-02T20,171,2,1,0,0,0,0,0,0,0,1,0,0,1,0,8,2,0,0,0,16,0,0,0,20,0,0,0,0,0,1,0,2,8,13,0,0,0,1,0,0,0,1,0,0,1,0,0,10,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,1,0,2,0,1,0,0,0,6,0,1,1,2,6,0,0,4,0,0,0,1,0,0,0,34,0,0,0,2,0,0,0,0
2023-07-02T21,153,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4,3,0,0,0,20,0,0,0,13,0,0,0,0,0,1,0,2,7,13,0,0,0,0,0,0,0,1,0,0,3,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,1,0,1,0,0,0,4,0,1,0,1,7,0,0,2,0,0,0,1,0,2,0,33,0,0,0,0,0,0,0,0
2023-07-02T22,103,1,0,0,1,0,0,0,0,0,1,1,0,0,0,8,1,0,3,0,7,0,0,0,9,0,0,0,0,0,1,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,5,0,0,1,0,0,1,1,0,0,0,25,1,0,0,0,0,1,0,0
2023-07-02T23,103,1,0,0,1,0,0,0,0,0,0,0,0,1,0,11,0,2,2,0,4,0,0,0,3,0,0,0,0,0,0,0,0,2,7,0,0,0,1,0,0,0,0,0,0,1,0,0,4,2,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,7,0,0,3,0,0,1,1,0,1,0,30,0,0,1,0,0,1,0,0
2023-07-03T00,82,2,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,2,2,0,5,0,1,0,3,0,0,0,0,0,1,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,6,0,0,0,0,0,0,1,0,2,0,33,1,0,0,0,0,0,0,0
2023-07-03T01,81,1,0,0,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,1,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,3,0,0,0,2,0,0,0,33,0,0,0,1,0,0,0,0
2023-07-03T02,94,2,0,0,3,0,1,0,0,0,0,0,0,2,0,7,0,0,1,0,8,1,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,3,0,0,0,1,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,2,0,0,2,2,0,0,0,34,0,0,0,1,0,0,0,0
2023-07-03T03,90,4,0,0,1,0,0,0,0,0,0,0,0,2,0,7,0,0,2,0,9,2,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,5,0,0,1,0,0,0,2,0,2,0,27,0,0,1,0,1,0,0,0
2023-07-03T04,92,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,22,2,0,0,3,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,5,0,0,1,0,0,0,2,0,0,0,25,0,0,0,0,0,0,0,0
2023-07-03T05,98,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,25,1,0,0,3,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,2,0,0,2,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,7,0,0,1,0,0,0,1,0,1,0,21,0,0,0,0,0,0,0,0
2023-07-03T06,109,3,0,0,2,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,19,0,0,0,5,0,0,0,0,0,0,0,1,3,3,0,0,0,1,0,0,0,1,0,0,1,0,2,1,2,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,3,0,0,0,2,5,0,0,4,0,0,0,1,0,1,0,29,0,0,0,0,0,0,0,0
2023-07-03T07,94,2,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,21,0,0,0,5,0,0,0,0,0,0,0,0,3,5,0,0,0,2,0,0,0,1,0,0,3,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,3,1,2,0,0,0,0,0,3,0,0,0,1,5,0,0,2,0,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0
2023-07-03T08,99,2,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,22,0,0,2,4,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,1,0,1,0,0,1,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,5,0,0,4,0,0,0,1,0,3,0,22,0,0,1,0,0,0,0,0
2023-07-03T09,118,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,27,0,0,2,7,0,0,0,0,0,0,0,1,2,3,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,7,0,0,6,0,0,0,2,0,1,0,34,0,0,1,0,0,1,0,0
2023-07-03T10,107,2,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,10,0,0,2,5,0,0,0,0,0,0,0,0,4,5,0,0,0,4,0,0,0,0,0,0,1,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,6,1,0,5,0,0,0,4,0,0,0,29,0,0,0,2,0,0,0,0
2023-07-03T11,108,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,10,0,0,2,11,0,0,0,0,0,0,0,0,3,8,0,0,0,2,0,0,0,0,0,0,1,0,0,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,2,6,0,0,5,0,0,0,3,0,3,0,22,0,0,0,1,0,0,0,0
2023-07-03T12,123,3,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,3,17,0,1,0,0,0,0,0,0,1,8,0,0,0,3,0,0,0,0,0,0,3,0,0,5,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,1,0,1,0,2,0,0,0,2,7,0,0,8,0,0,1,6,0,1,0,20,0,0,0,1,0,0,0,0
2023-07-03T13,108,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,12,0,0,1,14,0,1,0,0,0,0,0,0,0,6,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,13,0,0,0,7,0,2,0,16,0,0,0,0,0,0,0,0
2023-07-03T14,142,2,0,0,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,21,0,0,1,13,0,0,0,0,0,1,0,0,3,9,0,0,0,4,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,3,0,1,0,1,0,0,0,1,0,0,0,1,6,0,0,26,0,0,0,3,0,3,0,22,0,0,0,1,0,0,0,0
2023-07-03T15,131,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,1,21,0,0,0,0,0,2,0,0,2,10,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,2,6,0,0,25,0,0,0,4,0,1,0,21,0,0,0,0,0,0,0,0
2023-07-03T16,121,2,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,8,0,0,1,16,1,1,0,0,0,4,0,0,2,8,0,0,0,1,0,0,0,1,0,0,1,0,0,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,6,5,0,0,13,0,0,0,3,0,1,0,20,1,0,0,0,0,0,0,0
2023-07-03T17,172,2,0,0,2,0,0,0,0,0,0,0,0,4,0,4,1,0,0,0,8,0,0,1,39,1,1,0,0,0,2,0,1,5,12,0,0,0,2,0,0,0,1,0,0,0,0,0,16,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,5,0,1,0,0,0,3,0,0,0,3,6,0,0,6,0,0,0,1,0,2,0,25,1,0,0,0,0,1,0,0
2023-07-03T18,203,1,0,0,2,0,1,0,0,0,2,0,0,4,0,5,0,0,0,0,4,0,0,1,40,2,0,1,0,0,1,1,1,9,17,0,0,0,0,0,0,0,0,0,0,1,0,0,11,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,1,1,0,0,2,0,4,0,1,0,0,0,2,0,0,0,1,6,0,0,7,1,0,1,5,1,0,0,33,0,0,0,2,0,0,0,0
2023-07-03T19,166,2,0,0,0,0,0,0,0,0,1,0,0,1,0,7,2,0,0,0,4,0,0,2,29,0,0,0,1,0,4,0,1,14,12,0,0,0,0,0,0,0,1,0,0,1,0,0,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,3,5,0,0,6,1,0,0,2,0,2,0,27,0,0,0,0,0,0,0,0
2023-07-03T20,151,2,0,0,0,0,0,0,0,0,3,0,0,1,0,6,1,0,0,0,12,0,0,1,23,0,0,0,0,0,5,0,1,7,18,0,0,0,1,0,0,0,0,0,0,1,0,0,14,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,6,0,0,3,0,0,2,2,0,0,0,20,0,0,0,0,0,0,0,0
2023-07-03T21,128,4,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,1,0,13,0,0,1,16,0,0,0,0,0,1,0,1,4,16,0,0,0,0,0,0,1,0,0,0,0,0,0,15,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,4,0,0,1,2,0,0,0,22,0,0,0,0,0,0,0,0
2023-07-03T22,115,3,0,1,1,0,0,0,0,0,0,0,0,4,0,5,0,0,1,0,18,0,0,1,10,0,0,0,0,0,2,0,1,3,10,0,0,0,1,0,0,1,1,0,0,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,5,0,0,1,0,0,0,1,0,2,0,21,0,1,0,0,0,0,0,0
2023-07-03T23,110,1,0,0,3,0,1,0,0,0,0,0,0,2,0,10,1,0,0,0,25,0,0,1,9,0,0,0,0,0,1,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1,1,0,1,0,19,0,1,0,0,0,0,0,0
2023-07-04T00,104,2,0,0,1,0,0,0,0,0,0,0,0,2,0,11,0,0,2,0,20,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,2,0,2,0,33,0,0,0,0,0,0,0,0
2023-07-04T01,132,1,0,0,1,0,4,0,0,0,0,0,0,2,0,12,0,0,0,0,15,0,0,1,4,0,0,0,0,0,0,0,0,2,10,0,0,0,2,0,0,0,1,7,0,1,0,0,0,3,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,8,0,0,0,0,0,0,1,0,1,0,44,0,0,0,1,0,0,0,0
2023-07-04T02,106,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,24,0,0,1,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,10,0,0,0,0,0,0,2,0,2,0,37,0,0,0,0,0,0,0,0
2023-07-04T03,131,1,1,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,22,0,0,1,4,0,0,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,1,0,0,8,0,0,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,2,0,0,0,1,0,3,0,44,0,0,0,0,0,0,0,0
2023-07-04T04,89,3,0,0,1,0,0,0,0,0,0,0,0,1,0,4,1,0,1,0,8,0,0,1,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,6,0,0,2,0,0,0,2,0,0,0,33,0,0,0,0,0,0,0,0
2023-07-04T05,175,2,0,0,1,0,1,0,0,0,0,1,0,1,0,8,0,0,1,0,6,0,0,1,14,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,3,0,0,0,21,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,13,0,0,2,0,0,0,1,0,2,0,80,0,0,0,0,0,0,0,0
2023-07-04T06,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,1,6,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,11,0,0,2,0,0,0,1,0,2,0,19,0,0,0,0,0,0,0,0
2023-07-04T07,138,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,7,1,0,2,11,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,10,0,6,0,0,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,1,7,0,0,0,0,0,1,2,0,0,0,53,0,0,0,0,0,0,0,0
2023-07-04T08,115,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,16,1,0,1,13,0,0,0,0,0,0,0,0,3,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,5,0,0,1,2,0,0,0,38,0,0,0,1,0,0,1,0
2023-07-04T09,161,2,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,7,0,0,1,5,0,0,0,0,0,0,0,0,5,4,0,0,0,4,0,0,0,2,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,5,0,0,1,3,0,2,0,75,0,0,0,0,0,0,1,0
2023-07-04T10,130,1,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,9,0,0,1,5,3,0,0,0,0,1,0,1,2,4,0,0,0,4,0,0,0,1,0,0,2,0,0,5,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,6,0,0,0,0,0,1,0,2,0,0,0,2,13,0,0,1,0,0,0,4,0,0,0,43,0,0,0,0,0,2,0,0
