bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BR,BY,CA,CH,CL,CN,CO,CW,CY,CZ,DE,DK,DO,EC,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KG,KH,KR,KZ,LB,LK,LT,LU,LV,MA,MC,MK,MM,MO,MU,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SC,SE,SG,SK,SN,SV,SZ,TG,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2023-04-30T13,95,1,0,0,0,1,1,0,1,0,0,0,1,0,2,0,1,0,3,0,0,0,0,14,1,0,0,0,1,0,0,6,11,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,2,0,0,2,5,0,0,0,0,0,11,0,0,0,3,0,0,0,14,0,0,0,0,0,0
2023-04-30T14,147,4,0,0,0,1,1,0,1,0,0,0,0,1,1,3,2,1,2,0,0,0,0,24,2,0,0,0,2,0,0,9,10,0,0,6,0,0,1,0,1,1,0,12,2,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,6,0,0,0,0,1,0,1,0,0,0,0,3,0,0,1,7,0,0,0,0,0,5,0,0,0,7,0,0,0,20,0,0,0,0,0,0
2023-04-30T15,154,2,0,0,0,0,0,0,1,0,0,0,0,1,1,4,2,0,3,0,0,0,0,21,1,0,0,0,3,0,0,7,13,0,0,6,0,0,1,0,0,1,1,14,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,12,0,0,0,3,0,0,0,23,0,0,0,0,1,0
2023-04-30T16,162,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,1,3,0,0,0,1,23,1,0,0,0,3,0,1,4,11,0,0,1,0,0,1,0,0,0,1,20,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,7,0,0,0,0,0,12,0,1,0,2,0,0,0,26,0,0,0,0,0,0
2023-04-30T17,174,5,1,0,0,1,1,0,1,0,0,1,0,3,2,5,1,0,2,0,0,0,0,31,2,0,0,0,6,0,1,8,10,0,0,0,0,2,1,0,0,1,0,17,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,0,0,0,0,0,0,2,0,0,0,0,3,0,0,3,6,0,0,0,0,0,6,0,1,0,0,0,1,0,32,0,0,0,2,0,0
2023-04-30T18,171,1,0,0,1,0,1,0,1,0,0,3,0,1,0,8,1,0,1,0,0,0,0,40,2,0,0,0,7,0,0,7,9,0,0,1,0,0,1,0,0,1,0,12,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,1,0,1,1,1,2,0,0,3,6,0,0,0,0,0,9,0,1,0,0,0,0,0,31,0,0,0,1,0,0
2023-04-30T19,153,1,0,0,0,1,1,0,1,0,0,1,0,0,0,8,1,0,0,0,0,0,0,34,3,0,0,0,6,0,0,8,11,0,0,1,0,1,0,0,2,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,1,2,0,1,0,0,3,5,0,0,0,0,0,8,0,2,0,0,0,0,0,23,0,0,0,0,0,0
2023-04-30T20,134,3,0,0,0,0,0,0,1,0,0,1,0,1,0,12,3,1,3,0,0,0,0,27,1,0,0,0,6,0,0,5,10,0,0,0,0,1,0,0,1,0,0,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,1,0,2,0,0,1,0,0,2,5,0,0,0,0,0,0,0,3,0,0,0,1,0,21,0,0,0,0,0,0
2023-04-30T21,143,2,0,0,0,0,0,1,1,0,0,1,0,0,0,12,2,0,1,0,0,0,0,28,1,0,0,0,3,0,0,4,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,3,0,0,1,0,0,1,5,0,0,0,0,0,1,0,3,0,0,0,2,0,28,0,0,0,0,0,0
2023-04-30T22,134,2,0,0,0,1,0,0,1,0,0,2,0,1,0,7,1,0,4,0,0,0,0,18,1,0,0,0,3,1,1,4,8,0,1,1,0,0,0,0,0,2,0,14,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0
