bucket,total,--,AE,AR,AT,AU,BD,BE,BG,BR,BY,CA,CH,CL,CN,CO,CV,CZ,DE,DK,ES,FI,FR,GB,GR,HK,HU,ID,IE,IN,IR,IT,JP,KH,KR,KZ,LB,LT,LU,LV,MA,MM,MO,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,RO,RU,RW,SC,SD,SE,SG,TH,TR,TW,UA,US,VE,VN,ZA
2023-03-12T19,205,2,0,1,0,0,0,2,0,2,0,13,0,1,3,0,0,0,42,0,4,0,15,18,0,1,0,0,3,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,1,0,2,0,0,1,0,7,1,2,4,0,0,0,5,5,3,2,0,0,36,0,0,0
2023-03-12T20,183,1,0,0,0,0,0,3,0,0,1,14,2,0,4,0,0,0,36,2,5,0,14,23,0,3,0,1,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,4,2,1,1,0,0,0,3,6,0,1,0,0,25,0,0,1
2023-03-12T21,155,1,0,0,0,0,0,1,0,0,0,7,2,0,3,0,0,0,22,0,1,0,9,9,0,0,0,1,0,1,0,21,3,0,2,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,1,2,4,2,0,0,0,3,7,0,0,0,0,37,0,1,0
2023-03-12T22,140,2,0,1,1,0,1,1,0,2,0,7,0,0,3,0,0,0,18,0,2,0,7,6,1,2,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2,0,0,0,0,0,0,2,3,1,1,0,0,0,2,8,2,0,1,0,34,0,0,0
2023-03-12T23,139,2,0,1,1,1,0,0,0,1,0,18,0,0,5,1,0,0,12,0,2,0,9,7,0,0,0,0,0,0,0,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,7,1,0,1,0,43,1,0,0
2023-03-13T00,101,2,0,2,1,0,0,0,0,1,0,12,0,0,5,0,0,0,4,0,0,0,5,7,0,0,0,0,0,2,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,7,0,0,0,0,39,1,0,0
2023-03-13T01,91,2,0,0,0,2,0,0,0,0,0,11,0,0,7,0,0,0,8,0,0,0,7,3,0,2,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,1,0,0,0,30,0,0,1
2023-03-13T02,108,2,0,1,0,1,0,0,0,2,0,13,0,0,7,0,0,0,2,0,0,0,2,5,0,2,0,4,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,2,5,2,1,2,0,41,0,1,0
2023-03-13T03,100,1,0,0,0,2,0,0,0,2,0,8,0,1,2,0,0,0,2,0,0,0,4,4,0,3,0,5,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2,1,0,0,3,5,1,1,1,0,43,0,1,0
2023-03-13T04,83,3,0,0,0,1,0,0,0,2,0,4,0,1,6,0,0,0,2,0,0,0,2,7,0,1,0,2,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,2,0,0,0,1,1,0,0,1,2,6,0,1,0,0,28,1,0,0
2023-03-13T05,90,2,0,0,0,5,0,0,0,2,0,3,0,0,6,0,0,0,5,0,0,0,3,5,0,2,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,1,0,0,0,6,0,0,1,2,5,1,0,2,1,27,0,1,0
2023-03-13T06,47,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,2,4,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,5,1,0,0,1,17,0,1,0
