bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BN,BO,BR,BY,CA,CH,CI,CL,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EG,ES,ET,FI,FR,GB,GE,GH,GM,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JE,JO,JP,KR,KZ,LA,LT,LU,LV,MA,MG,MK,MN,MU,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-01-24T08,99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5,0,0,0,0,19,2,0,0,0,0,1,0,0,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,0,3,0,0,2,0,29,0,0,0,0,0,0,0
2023-01-24T09,137,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,11,0,0,0,0,0,1,0,0,6,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,18,6,0,0,1,0,1,2,0,51,0,0,0,0,2,0,0
2023-01-24T10,158,2,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,9,0,0,0,0,18,2,0,0,0,0,0,0,0,7,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,2,7,0,0,3,0,0,2,0,81,0,1,0,0,0,0,0
2023-01-24T11,131,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,5,0,0,0,0,10,1,0,0,0,0,0,0,0,4,6,0,0,0,1,0,2,0,1,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,2,1,0,0,0,0,0,0,3,0,2,6,0,0,2,0,0,1,0,60,0,1,0,1,0,0,0
2023-01-24T12,130,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,11,0,1,0,0,0,1,0,0,7,16,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,2,23,0,0,3,0,0,4,1,32,0,0,0,0,0,0,0
2023-01-24T13,115,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,1,11,0,0,0,0,0,3,0,0,3,14,0,0,0,0,0,5,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,0,0,5,0,0,2,0,37,0,0,0,0,0,0,0
2023-01-24T14,168,3,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,4,0,1,0,4,0,0,0,1,17,0,0,0,0,0,1,0,0,4,5,0,0,0,0,0,4,0,1,1,0,0,3,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,1,4,0,0,2,1,70,0,0,0,1,0,0,0
2023-01-24T15,243,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,3,0,0,0,0,22,0,0,0,0,0,2,0,0,10,6,0,0,0,0,0,2,0,1,0,0,0,7,0,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,2,17,0,0,11,0,1,4,1,119,0,0,0,0,0,0,0
2023-01-24T16,176,3,4,0,1,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,32,0,0,0,0,0,4,0,0,6,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3,7,1,0,10,0,1,2,1,58,0,0,0,1,0,0,0
2023-01-24T17,173,1,1,0,0,0,1,6,0,0,0,2,0,0,0,0,0,4,2,0,0,1,0,0,0,0,43,1,0,0,0,0,2,0,0,17,8,0,0,0,0,0,2,0,0,0,0,0,2,0,0,21,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,6,5,0,0,8,0,1,1,1,21,0,0,0,0,0,0,0
2023-01-24T18,273,1,2,0,0,0,1,15,0,0,0,2,0,0,0,11,0,9,2,0,0,2,0,0,0,2,59,0,0,0,0,0,6,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,2,0,0,0,1,0,2,0,6,6,0,0,2,0,1,2,0,77,0,0,0,0,0,0,0
2023-01-24T19,208,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3,0,8,2,0,0,8,0,0,0,1,55,0,0,0,0,0,3,0,0,10,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,8,6,0,0,2,0,1,0,0,32,0,0,0,0,0,0,1
2023-01-24T20,252,3,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,6,0,0,0,3,1,0,0,1,37,0,0,0,0,0,6,0,0,17,16,0,0,0,0,0,2,0,0,0,0,0,2,0,0,15,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,22,1,0,0,0,0,0,0,5,0,0,0,3,0,3,0,1,6,1,0,1,0,3,1,0,87,0,0,0,0,0,0,0
2023-01-24T21,234,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,2,0,0,13,1,0,0,0,33,0,0,0,0,0,6,0,0,12,10,0,0,0,0,0,2,0,0,0,0,0,1,0,0,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,2,5,2,0,1,0,1,1,0,76,0,0,0,0,0,0,0
2023-01-24T22,189,2,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,9,1,0,0,2,1,0,0,0,18,0,0,1,0,0,3,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,4,0,1,0,1,0,2,0,2,6,0,0,1,0,0,3,0,54,0,0,0,1,0,0,0
2023-01-24T23,185,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,19,0,0,0,2,0,0,0,0,19,0,0,0,0,1,4,0,0,2,7,0,0,0,0,0,1,0,0,0,0,0,3,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,1,6,0,0,2,0,0,1,0,79,0,0,0,0,0,0,0
2023-01-25T00,165,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,1,0,0,3,0,0,0,0,11,0,0,0,0,1,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,6,0,0,2,0,0,4,0,94,0,0,0,0,0,0,0
2023-01-25T01,163,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,3,2,0,0,0,6,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,3,0,0,0,1,104,0,0,0,1,0,0,0
2023-01-25T02,174,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,5,1,0,0,0,8,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,1,0,0,0,0,117,0,0,0,0,0,0,0
2023-01-25T03,124,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,11,0,0,0,5,0,0,0,1,5,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,3,0,0,2,0,0,9,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,5,0,0,3,0,0,1,1,57,0,0,0,1,0,0,0
2023-01-25T04,112,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,0,4,1,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,4,0,0,1,0,65,0,0,0,0,0,0,0
2023-01-25T05,77,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,5,0,0,2,0,0,0,0,33,0,0,0,0,0,0,0
2023-01-25T06,109,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,7,0,0,1,0,0,6,0,58,0,0,0,2,0,0,0
2023-01-25T07,89,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,6,0,0,0,0,13,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,4,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,1,3,0,0,6,0,24,0,0,0,2,0,0,0
2023-01-25T08,99,4,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,3,0,0,0,7,0,0,0,0,9,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,2,0,0,0,0,1,2,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,3,0,0,4,0,35,0,0,0,2,0,0,0
2023-01-25T09,113,3,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,2,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,1,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,4,7,0,0,1,0,0,2,0,40,0,0,1,0,0,0,0
2023-01-25T10,112,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,5,0,0,0,0,12,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,7,0,0,2,1,0,2,0,41,0,0,1,1,1,0,0
2023-01-25T11,149,3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,1,0,0,2,0,0,0,0,7,0,0,0,0,0,2,0,1,3,4,0,0,0,0,0,2,0,0,1,0,0,2,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,0,0,1,1,0,2,0,88,0,0,0,1,0,0,0
2023-01-25T12,133,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,3,0,0,0,0,11,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,10,0,0,5,0,0,9,0,54,0,0,0,1,0,0,0
2023-01-25T13,153,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5,0,0,0,5,0,0,0,0,11,1,1,0,0,0,1,0,0,5,6,0,0,0,0,0,3,0,0,0,5,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,5,0,0,3,0,0,11,0,63,0,0,0,2,0,0,0
2023-01-25T14,154,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,4,1,0,0,4,0,0,0,0,18,2,0,0,0,0,1,0,0,9,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,1,0,0,0,1,0,4,0,1,6,0,0,3,0,0,8,1,54,0,0,0,1,0,0,0
2023-01-25T15,115,2,1,0,0,2,1,0,0,0,0,1,0,0,0,1,3,5,0,0,0,4,0,0,0,0,19,1,0,0,0,0,2,0,0,8,9,0,0,0,0,0,3,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,0,0,7,0,0,8,1,14,0,0,0,0,0,0,0
2023-01-25T16,139,3,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,4,0,0,0,4,0,0,0,0,31,0,0,0,0,0,1,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,6,0,0,8,0,0,7,0,23,0,1,0,0,0,0,0
2023-01-25T17,225,3,0,0,0,2,2,0,0,0,0,0,2,0,0,1,1,5,2,0,0,3,0,0,0,0,36,0,0,0,0,0,8,0,0,12,10,0,0,0,0,0,2,0,0,1,0,0,2,0,1,22,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,11,1,0,0,0,0,0,0,2,0,0,0,0,0,4,0,4,7,0,0,9,0,1,2,1,59,0,0,0,1,0,0,0
2023-01-25T18,240,3,0,0,0,1,2,0,0,1,0,2,0,0,0,1,0,8,1,0,0,6,1,0,0,5,49,1,0,0,0,0,5,0,0,7,18,0,0,0,0,0,1,0,0,0,12,0,5,0,0,17,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,2,0,12,1,0,1,0,0,0,0,3,0,0,0,1,0,7,0,2,8,0,0,6,0,1,1,1,42,0,0,0,0,0,0,0
2023-01-25T19,226,3,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,7,1,0,0,3,1,0,0,4,62,3,0,0,0,0,3,0,0,12,18,0,0,0,0,0,4,0,0,0,0,0,3,0,1,11,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,20,1,0,0,0,0,0,0,1,0,0,0,2,0,6,0,1,5,0,0,4,0,2,0,0,37,0,0,1,0,0,0,0
2023-01-25T20,179,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,7,3,0,0,6,1,0,0,1,45,2,0,0,0,0,3,0,0,14,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,2,0,0,0,1,0,2,0,2,6,0,0,3,0,0,1,0,33,0,0,1,0,0,0,0
2023-01-25T21,190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,7,1,0,0,3,30,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,22,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,1,0,3,0,1,5,0,0,2,0,0,1,0,68,0,0,0,0,0,0,0
2023-01-25T22,175,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,11,2,0,0,5,0,0,0,4,22,0,0,0,0,0,0,0,0,9,12,0,0,0,0,1,0,0,1,0,0,0,4,0,0,16,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,0,0,0,0,0,0,0,0,3,0,3,0,2,0,1,7,0,0,2,0,0,0,0,47,1,0,0,1,0,0,0
2023-01-25T23,236,4,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,15,1,0,0,5,0,0,0,2,19,0,0,0,0,0,1,0,0,2,14,0,0,0,0,1,1,0,1,1,0,0,8,0,1,14,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,2,0,1,0,2,0,2,0,1,17,0,1,1,0,0,1,0,88,1,0,0,1,1,0,1
2023-01-26T00,145,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,20,0,0,0,6,0,1,0,0,10,0,0,0,0,0,2,0,0,4,7,0,0,0,0,0,0,0,1,0,0,0,1,0,1,9,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,7,1,0,2,0,0,2,2,49,0,0,0,1,0,0,1
2023-01-26T01,133,3,0,0,0,1,1,2,0,0,0,0,0,0,2,2,0,21,0,0,0,4,0,1,0,0,7,0,0,0,0,0,2,0,0,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0,4,0,0,4,2,47,0,0,0,0,0,0,0
2023-01-26T02,125,2,0,0,0,0,0,5,0,0,0,0,0,0,1,4,0,23,1,0,0,5,0,0,0,0,5,0,0,0,1,0,1,0,0,4,4,0,0,0,0,0,1,0,0,1,0,0,3,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,6,0,0,2,0,0,0,1,42,0,0,0,0,0,0,0
2023-01-26T03,106,2,0,0,0,1,0,6,0,0,0,0,0,0,1,1,0,12,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,6,0,0,2,0,1,1,2,40,0,0,0,0,0,0,0
2023-01-26T04,69,2,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,9,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,6,0,1,1,0,0,1,2,22,0,0,0,0,0,0,0
2023-01-26T05,85,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,2,5,0,0,2,0,0,2,1,34,0,0,0,2,0,0,0
2023-01-26T06,73,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,1,0,0,0,5,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,1,6,0,0,1,0,0,2,0,23,0,0,0,1,0,0,0
2023-01-26T07,76,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,10,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,3,0,0,1,0,0,1,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,5,0,0,1,0,0,2,0,21,0,0,0,1,0,0,0
2023-01-26T08,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,4,0,0,1,0,14,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,2,0,0,3,0,23,0,0,0,0,0,0,0
2023-01-26T09,68,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,2,0,0,0,0,15,1,0,0,0,0,1,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,2,0,0,4,0,16,0,0,0,0,0,0,0
2023-01-26T10,76,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,15,0,0,0,0,0,3,0,0,7,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,3,7,0,0,0,0,0,3,1,13,0,0,0,0,0,0,0
2023-01-26T11,83,3,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,6,0,0,1,0,17,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,8,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0
2023-01-26T12,110,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,13,1,1,0,0,0,2,0,0,3,4,0,0,0,0,0,10,0,1,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,16,0,0,5,0,1,6,1,17,0,0,1,1,0,0,0
2023-01-26T13,133,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,20,2,0,0,0,0,2,0,0,9,2,0,0,1,1,0,22,0,0,0,0,0,1,0,0,3,0,0,1,3,1,0,1,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,9,0,0,5,0,0,6,0,21,0,0,1,0,0,0,0
2023-01-26T14,127,2,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,5,0,0,0,4,0,0,0,0,17,1,0,0,0,0,1,0,1,7,4,0,0,0,0,0,7,0,0,0,0,0,1,0,0,7,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,2,0,0,0,0,0,3,0,3,8,0,0,7,0,0,7,1,21,0,0,0,1,0,0,0
2023-01-26T15,136,4,1,0,0,0,2,0,0,1,0,1,0,0,0,4,0,6,0,0,0,7,0,0,0,0,16,0,0,0,0,0,2,0,1,6,4,0,0,0,0,0,4,0,0,1,0,0,2,0,0,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,1,0,3,0,2,0,8,7,0,0,7,0,2,5,1,22,0,0,0,0,0,0,0
2023-01-26T16,159,2,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,4,0,0,0,5,0,0,0,0,29,0,0,0,0,0,1,0,1,12,8,0,0,0,1,0,1,0,2,1,0,0,3,0,0,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,1,0,1,0,3,0,2,6,0,0,8,0,1,5,2,37,0,0,0,1,0,0,0
2023-01-26T17,162,2,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,7,0,0,0,2,0,0,0,0,37,0,0,0,0,0,4,0,0,6,9,0,0,0,0,0,2,0,0,0,0,0,3,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,2,5,0,0,7,0,1,3,0,35,0,0,0,1,0,0,0
2023-01-26T18,215,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,11,2,0,0,7,0,0,0,0,55,2,0,0,1,0,9,0,0,10,12,0,0,0,0,0,0,0,0,0,4,0,3,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,1,0,1,0,0,0,1,1,6,0,6,6,0,1,2,0,3,3,0,32,0,0,0,0,0,0,0
2023-01-26T19,240,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,0,0,2,0,0,0,2,67,1,0,0,0,0,7,0,0,14,30,0,0,0,0,0,2,0,0,0,3,0,2,0,1,19,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0,1,0,1,0,0,0,3,0,5,0,1,5,0,2,2,0,3,1,0,23,0,0,0,0,1,0,0
2023-01-26T20,205,3,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,9,5,0,0,6,0,0,0,1,40,0,0,0,0,0,6,0,0,15,22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,26,0,0,1,0,0,0,0,3,0,0,0,2,0,4,0,3,8,0,0,1,0,2,4,0,16,0,0,0,0,1,0,1
2023-01-26T21,203,4,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,12,4,0,0,7,0,0,0,2,38,0,1,0,0,0,5,0,0,17,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,4,0,2,0,1,0,5,0,1,7,0,1,1,0,2,3,0,24,0,0,0,0,0,1,0
2023-01-26T22,150,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,3,0,0,5,0,0,0,1,27,0,0,0,0,0,7,0,0,12,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,1,0,3,0,2,0,1,0,1,6,0,1,1,0,1,1,0,24,0,0,0,1,0,1,0
2023-01-26T23,140,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,12,2,0,1,6,0,0,0,1,19,1,0,0,0,0,2,0,0,3,10,0,0,0,0,0,2,0,1,0,0,0,2,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,1,5,0,0,0,0,0,3,0,39,0,0,0,0,0,0,0
