bucket,total,--,AE,AF,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BW,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,ML,MM,MN,MO,MT,MU,MX,MY,NC,NE,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SE,SG,SI,SK,TH,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM
2023-10-22T12,116,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,3,0,0,0,13,0,0,0,0,1,0,0,0,0,9,6,1,0,0,0,2,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,2,0,0,0,1,0,2,0,3,7,0,0,7,0,1,1,2,0,0,25,0,0,0,0,0,0
2023-10-22T13,129,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,7,0,0,1,10,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,1,0,1,0,0,0,0,0,0,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,2,6,0,0,7,0,0,0,9,0,0,31,0,0,0,2,0,0
2023-10-22T14,152,4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,8,1,0,0,1,10,0,0,0,14,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,3,0,0,0,0,1,0,0,0,15,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,3,0,4,0,1,0,3,0,5,6,0,0,9,0,0,0,7,0,0,27,0,0,0,0,0,0
2023-10-22T15,163,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2,0,0,0,3,0,0,0,25,0,0,0,0,0,0,2,0,0,11,6,0,0,0,0,2,0,1,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,1,0,4,0,0,0,0,0,4,0,6,5,0,0,13,0,1,0,4,0,0,27,0,0,0,0,0,0
2023-10-22T16,196,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,7,1,0,0,0,13,0,1,0,32,0,0,0,0,0,0,5,0,1,24,9,0,0,0,0,1,0,0,1,0,0,0,1,2,17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,5,7,0,0,19,0,1,0,1,0,0,30,0,0,0,0,1,0
2023-10-22T17,217,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,11,0,0,0,0,14,1,0,1,44,0,0,0,0,0,0,7,0,2,8,18,0,0,0,1,0,0,0,1,0,0,0,0,2,12,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,2,7,0,2,0,2,0,3,0,8,9,0,0,10,0,1,0,1,0,0,27,0,0,1,0,0,0
2023-10-22T18,238,1,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,13,0,0,0,0,16,1,0,0,38,1,0,0,0,0,0,4,0,1,10,17,0,0,0,1,0,0,1,0,0,0,0,0,1,22,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,5,0,2,0,0,0,4,0,10,8,3,0,9,0,1,0,2,0,0,35,0,0,1,0,0,0
2023-10-22T19,210,1,0,0,0,0,2,0,0,1,0,0,1,0,0,3,0,0,0,20,3,0,0,0,13,0,0,0,35,1,0,1,0,0,0,3,0,0,19,9,0,0,0,0,2,0,0,0,0,0,0,0,0,21,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,2,0,0,0,0,0,0,5,0,0,0,0,0,2,0,3,6,0,0,3,0,1,0,2,0,0,29,0,0,0,0,0,0
2023-10-22T20,161,3,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0,0,9,1,0,0,0,16,1,0,0,22,0,0,1,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,7,0,1,0,1,0,2,0,3,5,0,0,3,0,1,0,2,0,0,24,0,0,0,0,0,0
2023-10-22T21,119,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,1,0,0,0,15,0,0,0,12,0,0,0,0,0,0,0,0,0,6,9,0,0,1,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,6,0,0,1,0,1,0,1,0,0,21,0,0,0,0,0,0
